2026-03-29 18:24:22 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-03-29 19:00:31 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-03-29 19:02:20 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-03-29 19:18:25 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-03-29 19:36:41 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-03-29 19:36:41 | INFO     | QueueConsumer                  | QueueConsumer polling thread started
2026-03-29 19:37:02 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-03-29 19:38:02 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-03-29 19:39:01 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-03-29 19:40:01 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-03-29 19:41:01 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-03-29 19:42:01 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
2026-04-04 21:16:17 | INFO     | PlotEngine                     | PlotEngine starting on http://localhost:8050
2026-04-04 21:16:17 | INFO     | QueueConsumer                  | QueueConsumer polling thread started
2026-04-04 21:17:03 | DEBUG    | QueueConsumer                  | Full day data received — 375 ticks
